Plan_ID,Plan_Name,Plan_Type,Category,Base_Price,Setup_Fee,Contract_Required,Data_Allowance,Voice_Minutes,SMS_Allowance,Features,Target_Segment,Roaming_Included
5G_UNLIMITED_PRO,5G Unlimited Pro,Postpaid,Mobile,980,0,24,Unlimited,Unlimited,Unlimited,"5G,Hotspot,Premium_Support",Premium,Asia_Pacific
5G_UNLIMITED_PLUS,5G Unlimited Plus,Postpaid,Mobile,1299,0,24,Unlimited,Unlimited,Unlimited,"5G,Hotspot,Premium_Support,International_Roaming",Premium,Worldwide
MOBILE_5G_BASIC,5G Basic Plan,Postpaid,Mobile,699,0,24,50GB,2000,1000,"5G,Basic_Support",Standard,Local_Only
FIBER_1000_BIZ,Business Fiber 1000M,Postpaid,Fixed,2800,500,24,1000GB,,,"Fiber,Static_IP,SLA,24x7_Support",Enterprise,
OFFICE_FIBER_500,Office Fiber 500M,Postpaid,Fixed,1200,300,24,500GB,,,"Fiber,Dynamic_IP,Business_Support",SME,
HOME_FIBER_300,Home Fiber 300M,Postpaid,Fixed,499,200,24,300GB,,,"Fiber,WiFi6_Router",Consumer,
VAS_ROAMING_ASIA,Asia Roaming Pack,Add-on,VAS,88,0,0,5GB,60,100,Asia_Pacific_Roaming,All,Asia_Pacific
VAS_PREMIUM_SUPPORT,Premium Support,Add-on,VAS,50,0,0,,,,"24x7_Support,Priority_Queue",Premium,
VAS_DEVICE_INSURANCE,Device Insurance,Add-on,VAS,35,0,0,,,,"Device_Protection,Replacement",All,
VAS_CLOUD_BACKUP,Cloud Backup 100GB,Add-on,VAS,25,0,0,,,,"Cloud_Storage,Auto_Backup",All,
5G_BASIC_30GB,5G Basic 30GB Plan,Postpaid,Mobile,124,0,30,30GB,Unlimited,Unlimited,"5G,China_Macau_1GB",Standard,China_Macau
5G_STANDARD_50GB,5G Standard 50GB Plan,Postpaid,Mobile,148,0,24,50GB,Unlimited,Unlimited,"5G,China_Macau_3GB",Standard,China_Macau
5G_PLUS_60GB,5G Plus 60GB Plan,Postpaid,Mobile,188,0,24,60GB,Unlimited,Unlimited,"5G,China_Macau_4GB",Standard,China_Macau
5G_PREMIUM_100GB,5G Premium 100GB Plan,Postpaid,Mobile,228,0,24,100GB,Unlimited,Unlimited,"5G,China_Macau_4GB,Handset_Voucher",Premium,China_Macau
4G5_BASIC_5GB,4.5G Basic 5GB,Postpaid,Mobile,148,0,24,5GB,Unlimited,Unlimited,"4.5G,42Mbps_Speed",Standard,Local_Only
4G5_STANDARD_10GB,4.5G Standard 10GB,Postpaid,Mobile,198,0,24,10GB,Unlimited,Unlimited,"4.5G,Enhanced_Data",Standard,Local_Only
4G5_PLUS_15GB,4.5G Plus 15GB,Postpaid,Mobile,288,0,24,15GB,Unlimited,Unlimited,"4.5G,Premium_Support",Premium,Local_Only
4G5_PREMIUM_25GB,4.5G Premium 25GB,Postpaid,Mobile,428,0,24,25GB,Unlimited,Unlimited,"4.5G,Handset_Voucher",Premium,Local_Only
BIZ_5G_BASIC,Business 5G Basic,Postpaid,Mobile,168,0,24,50GB,Unlimited,Unlimited,"5G,SLA,Priority_Network",Enterprise,Local_Only
5G_MULTI_60GB,5G Multi-SIM 60GB,Postpaid,Mobile,268,0,24,60GB,Unlimited,Unlimited,"5G,Multi_SIM_2,China_Macau",Family,China_Macau
